"pixel no"	"mm" 	"pixel val" 	"dark frame"	"flat field"	"corrected"	"smoothed"
        81	     0,648	       978	     0,000	 65535,000	     6,154	     6,154
        82	     0,656	       994	     0,000	 65535,000	    22,154	    22,154
        83	     0,664	       994	     0,000	 65535,000	    22,154	    22,154
        84	     0,672	       978	     0,000	 65535,000	     6,154	     6,154
        85	     0,680	       978	     0,000	 65535,000	     6,154	     6,154
        86	     0,688	       994	     0,000	 65535,000	    22,154	    22,154
        87	     0,696	       930	     0,000	 65535,000	   -41,846	   -41,846
        88	     0,704	       978	     0,000	 65535,000	     6,154	     6,154
        89	     0,712	      1010	     0,000	 65535,000	    38,154	    38,154
        90	     0,720	       994	     0,000	 65535,000	    22,154	    22,154
        91	     0,728	       978	     0,000	 65535,000	     6,154	     6,154
        92	     0,736	      1026	     0,000	 65535,000	    54,154	    54,154
        93	     0,744	      1042	     0,000	 65535,000	    70,154	    70,154
        94	     0,752	      1010	     0,000	 65535,000	    38,154	    38,154
        95	     0,760	       962	     0,000	 65535,000	    -9,846	    -9,846
        96	     0,768	       978	     0,000	 65535,000	     6,154	     6,154
        97	     0,776	       946	     0,000	 65535,000	   -25,846	   -25,846
        98	     0,784	       962	     0,000	 65535,000	    -9,846	    -9,846
        99	     0,792	       946	     0,000	 65535,000	   -25,846	   -25,846
       100	     0,800	       978	     0,000	 65535,000	     6,154	     6,154
       101	     0,808	       946	     0,000	 65535,000	   -25,846	   -25,846
       102	     0,816	       962	     0,000	 65535,000	    -9,846	    -9,846
       103	     0,824	       962	     0,000	 65535,000	    -9,846	    -9,846
       104	     0,832	       898	     0,000	 65535,000	   -73,846	   -73,846
       105	     0,840	       914	     0,000	 65535,000	   -57,846	   -57,846
       106	     0,848	       930	     0,000	 65535,000	   -41,846	   -41,846
       107	     0,856	       914	     0,000	 65535,000	   -57,846	   -57,846
       108	     0,864	       946	     0,000	 65535,000	   -25,846	   -25,846
       109	     0,872	       978	     0,000	 65535,000	     6,154	     6,154
       110	     0,880	       994	     0,000	 65535,000	    22,154	    22,154
