"pixel no"	"mm" 	"pixel val" 	"dark frame"	"flat field"	"corrected"	"smoothed"
       -13	    -1,000	       914	     0,000	     0,000	    -1,000	    -1,000
       -12	    -1,000	       978	     0,000	     0,000	    -1,000	    -1,000
       -11	    -1,000	       994	     0,000	     0,000	    -1,000	    -1,000
       -10	    -1,000	       978	     0,000	     0,000	    -1,000	    -1,000
        -9	   100,000	       978	     0,000	     0,000	    -1,000	    -1,000
        -8	     4,000	       978	     0,000	     0,000	    -1,000	    -1,000
        -7	     1,000	       946	     0,000	     0,000	    -1,000	    -1,000
        -6	    50,000	       962	     0,000	     0,000	    -1,000	    -1,000
        -5	     0,000	       978	     0,000	     0,000	    -1,000	    -1,000
        -4	   100,000	       978	     0,000	     0,000	    -1,000	    -1,000
        -3	     0,000	      1026	     0,000	     0,000	    -1,000	    -1,000
        -2	     0,000	       962	     0,000	     0,000	    -1,000	    -1,000
        -1	     1,000	       962	     0,000	     0,000	    -1,000	    -1,000
         0	     0,000	       946	     0,000	 65535,000	   -25,846	   -25,846
         1	     0,008	       946	     0,000	 65535,000	   -25,846	   -25,846
         2	     0,016	       994	     0,000	 65535,000	    22,154	    22,154
         3	     0,024	       962	     0,000	 65535,000	    -9,846	    -9,846
         4	     0,032	       962	     0,000	 65535,000	    -9,846	    -9,846
         5	     0,040	       930	     0,000	 65535,000	   -41,846	   -41,846
         6	     0,048	       914	     0,000	 65535,000	   -57,846	   -57,846
         7	     0,056	       946	     0,000	 65535,000	   -25,846	   -25,846
         8	     0,064	       914	     0,000	 65535,000	   -57,846	   -57,846
         9	     0,072	       994	     0,000	 65535,000	    22,154	    22,154
        10	     0,080	       994	     0,000	 65535,000	    22,154	    22,154
        11	     0,088	       994	     0,000	 65535,000	    22,154	    22,154
        12	     0,096	      1026	     0,000	 65535,000	    54,154	    54,154
        13	     0,104	       994	     0,000	 65535,000	    22,154	    22,154
        14	     0,112	       962	     0,000	 65535,000	    -9,846	    -9,846
        15	     0,120	       946	     0,000	 65535,000	   -25,846	   -25,846
        16	     0,128	       978	     0,000	 65535,000	     6,154	     6,154
        17	     0,136	       946	     0,000	 65535,000	   -25,846	   -25,846
        18	     0,144	       946	     0,000	 65535,000	   -25,846	   -25,846
        19	     0,152	       994	     0,000	 65535,000	    22,154	    22,154
