"pixel no"	"mm" 	"pixel val" 	"dark frame"	"flat field"	"corrected"	"smoothed"
        81	     0,648	       994	     0,000	 65535,000	    44,308	    44,308
        82	     0,656	       962	     0,000	 65535,000	    12,308	    12,308
        83	     0,664	       978	     0,000	 65535,000	    28,308	    28,308
        84	     0,672	       962	     0,000	 65535,000	    12,308	    12,308
        85	     0,680	       946	     0,000	 65535,000	    -3,692	    -3,692
        86	     0,688	       930	     0,000	 65535,000	   -19,692	   -19,692
        87	     0,696	       962	     0,000	 65535,000	    12,308	    12,308
        88	     0,704	       882	     0,000	 65535,000	   -67,692	   -67,692
        89	     0,712	       962	     0,000	 65535,000	    12,308	    12,308
        90	     0,720	       962	     0,000	 65535,000	    12,308	    12,308
        91	     0,728	       930	     0,000	 65535,000	   -19,692	   -19,692
        92	     0,736	       962	     0,000	 65535,000	    12,308	    12,308
        93	     0,744	       946	     0,000	 65535,000	    -3,692	    -3,692
        94	     0,752	       962	     0,000	 65535,000	    12,308	    12,308
        95	     0,760	       946	     0,000	 65535,000	    -3,692	    -3,692
        96	     0,768	       946	     0,000	 65535,000	    -3,692	    -3,692
        97	     0,776	       978	     0,000	 65535,000	    28,308	    28,308
        98	     0,784	       930	     0,000	 65535,000	   -19,692	   -19,692
        99	     0,792	       930	     0,000	 65535,000	   -19,692	   -19,692
       100	     0,800	       914	     0,000	 65535,000	   -35,692	   -35,692
       101	     0,808	       962	     0,000	 65535,000	    12,308	    12,308
       102	     0,816	       914	     0,000	 65535,000	   -35,692	   -35,692
       103	     0,824	       962	     0,000	 65535,000	    12,308	    12,308
       104	     0,832	       914	     0,000	 65535,000	   -35,692	   -35,692
       105	     0,840	       946	     0,000	 65535,000	    -3,692	    -3,692
       106	     0,848	       946	     0,000	 65535,000	    -3,692	    -3,692
       107	     0,856	       978	     0,000	 65535,000	    28,308	    28,308
       108	     0,864	       962	     0,000	 65535,000	    12,308	    12,308
       109	     0,872	       962	     0,000	 65535,000	    12,308	    12,308
       110	     0,880	       946	     0,000	 65535,000	    -3,692	    -3,692
       111	     0,888	       962	     0,000	 65535,000	    12,308	    12,308
       112	     0,896	       946	     0,000	 65535,000	    -3,692	    -3,692
       113	     0,904	       962	     0,000	 65535,000	    12,308	    12,308
       114	     0,912	       914	     0,000	 65535,000	   -35,692	   -35,692
       115	     0,920	       978	     0,000	 65535,000	    28,308	    28,308
       116	     0,928	       962	     0,000	 65535,000	    12,308	    12,308
       117	     0,936	       962	     0,000	 65535,000	    12,308	    12,308
       118	     0,944	       978	     0,000	 65535,000	    28,308	    28,308
       119	     0,952	       946	     0,000	 65535,000	    -3,692	    -3,692
       120	     0,960	       994	     0,000	 65535,000	    44,308	    44,308
       121	     0,968	       930	     0,000	 65535,000	   -19,692	   -19,692
       122	     0,976	       914	     0,000	 65535,000	   -35,692	   -35,692
       123	     0,984	       962	     0,000	 65535,000	    12,308	    12,308
       124	     0,992	       914	     0,000	 65535,000	   -35,692	   -35,692
       125	     1,000	       946	     0,000	 65535,000	    -3,692	    -3,692
       126	     1,008	       930	     0,000	 65535,000	   -19,692	   -19,692
       127	     1,016	       914	     0,000	 65535,000	   -35,692	   -35,692
       128	     1,024	       946	     0,000	 65535,000	    -3,692	    -3,692
       129	     1,032	       962	     0,000	 65535,000	    12,308	    12,308
       130	     1,040	       978	     0,000	 65535,000	    28,308	    28,308
       131	     1,048	       962	     0,000	 65535,000	    12,308	    12,308
       132	     1,056	       946	     0,000	 65535,000	    -3,692	    -3,692
       133	     1,064	       978	     0,000	 65535,000	    28,308	    28,308
       134	     1,072	       914	     0,000	 65535,000	   -35,692	   -35,692
       135	     1,080	       978	     0,000	 65535,000	    28,308	    28,308
       136	     1,088	       930	     0,000	 65535,000	   -19,692	   -19,692
       137	     1,096	       914	     0,000	 65535,000	   -35,692	   -35,692
       138	     1,104	       962	     0,000	 65535,000	    12,308	    12,308
       139	     1,112	       914	     0,000	 65535,000	   -35,692	   -35,692
       140	     1,120	       994	     0,000	 65535,000	    44,308	    44,308
       141	     1,128	       962	     0,000	 65535,000	    12,308	    12,308
       142	     1,136	       962	     0,000	 65535,000	    12,308	    12,308
       143	     1,144	       946	     0,000	 65535,000	    -3,692	    -3,692
       144	     1,152	       946	     0,000	 65535,000	    -3,692	    -3,692
       145	     1,160	       962	     0,000	 65535,000	    12,308	    12,308
       146	     1,168	       914	     0,000	 65535,000	   -35,692	   -35,692
       147	     1,176	       962	     0,000	 65535,000	    12,308	    12,308
       148	     1,184	       946	     0,000	 65535,000	    -3,692	    -3,692
       149	     1,192	       978	     0,000	 65535,000	    28,308	    28,308
       150	     1,200	       962	     0,000	 65535,000	    12,308	    12,308
       151	     1,208	       962	     0,000	 65535,000	    12,308	    12,308
       152	     1,216	       962	     0,000	 65535,000	    12,308	    12,308
       153	     1,224	       898	     0,000	 65535,000	   -51,692	   -51,692
       154	     1,232	       898	     0,000	 65535,000	   -51,692	   -51,692
       155	     1,240	       914	     0,000	 65535,000	   -35,692	   -35,692
       156	     1,248	       978	     0,000	 65535,000	    28,308	    28,308
       157	     1,256	       962	     0,000	 65535,000	    12,308	    12,308
       158	     1,264	       946	     0,000	 65535,000	    -3,692	    -3,692
       159	     1,272	       994	     0,000	 65535,000	    44,308	    44,308
       160	     1,280	      1026	     0,000	 65535,000	    76,308	    76,308
       161	     1,288	       946	     0,000	 65535,000	    -3,692	    -3,692
       162	     1,296	       978	     0,000	 65535,000	    28,308	    28,308
       163	     1,304	       930	     0,000	 65535,000	   -19,692	   -19,692
       164	     1,312	       898	     0,000	 65535,000	   -51,692	   -51,692
       165	     1,320	       898	     0,000	 65535,000	   -51,692	   -51,692
       166	     1,328	       946	     0,000	 65535,000	    -3,692	    -3,692
       167	     1,336	       930	     0,000	 65535,000	   -19,692	   -19,692
       168	     1,344	       946	     0,000	 65535,000	    -3,692	    -3,692
       169	     1,352	       962	     0,000	 65535,000	    12,308	    12,308
       170	     1,360	       914	     0,000	 65535,000	   -35,692	   -35,692
       171	     1,368	       946	     0,000	 65535,000	    -3,692	    -3,692
       172	     1,376	       962	     0,000	 65535,000	    12,308	    12,308
       173	     1,384	       898	     0,000	 65535,000	   -51,692	   -51,692
       174	     1,392	       930	     0,000	 65535,000	   -19,692	   -19,692
       175	     1,400	       914	     0,000	 65535,000	   -35,692	   -35,692
       176	     1,408	       962	     0,000	 65535,000	    12,308	    12,308
       177	     1,416	       930	     0,000	 65535,000	   -19,692	   -19,692
       178	     1,424	       946	     0,000	 65535,000	    -3,692	    -3,692
       179	     1,432	       946	     0,000	 65535,000	    -3,692	    -3,692
       180	     1,440	      1010	     0,000	 65535,000	    60,308	    60,308
       181	     1,448	      1026	     0,000	 65535,000	    76,308	    76,308
       182	     1,456	       978	     0,000	 65535,000	    28,308	    28,308
       183	     1,464	       978	     0,000	 65535,000	    28,308	    28,308
       184	     1,472	       978	     0,000	 65535,000	    28,308	    28,308
       185	     1,480	       962	     0,000	 65535,000	    12,308	    12,308
       186	     1,488	       914	     0,000	 65535,000	   -35,692	   -35,692
       187	     1,496	       946	     0,000	 65535,000	    -3,692	    -3,692
       188	     1,504	       946	     0,000	 65535,000	    -3,692	    -3,692
       189	     1,512	       930	     0,000	 65535,000	   -19,692	   -19,692
       190	     1,520	       914	     0,000	 65535,000	   -35,692	   -35,692
       191	     1,528	       978	     0,000	 65535,000	    28,308	    28,308
       192	     1,536	       946	     0,000	 65535,000	    -3,692	    -3,692
       193	     1,544	       994	     0,000	 65535,000	    44,308	    44,308
       194	     1,552	       978	     0,000	 65535,000	    28,308	    28,308
       195	     1,560	       994	     0,000	 65535,000	    44,308	    44,308
       196	     1,568	       978	     0,000	 65535,000	    28,308	    28,308
       197	     1,576	       978	     0,000	 65535,000	    28,308	    28,308
       198	     1,584	       978	     0,000	 65535,000	    28,308	    28,308
       199	     1,592	       930	     0,000	 65535,000	   -19,692	   -19,692
       200	     1,600	       914	     0,000	 65535,000	   -35,692	   -35,692
       201	     1,608	       930	     0,000	 65535,000	   -19,692	   -19,692
       202	     1,616	       962	     0,000	 65535,000	    12,308	    12,308
       203	     1,624	       962	     0,000	 65535,000	    12,308	    12,308
       204	     1,632	       946	     0,000	 65535,000	    -3,692	    -3,692
       205	     1,640	       978	     0,000	 65535,000	    28,308	    28,308
       206	     1,648	       962	     0,000	 65535,000	    12,308	    12,308
       207	     1,656	       930	     0,000	 65535,000	   -19,692	   -19,692
       208	     1,664	       930	     0,000	 65535,000	   -19,692	   -19,692
       209	     1,672	       930	     0,000	 65535,000	   -19,692	   -19,692
       210	     1,680	       914	     0,000	 65535,000	   -35,692	   -35,692
       211	     1,688	       962	     0,000	 65535,000	    12,308	    12,308
       212	     1,696	       930	     0,000	 65535,000	   -19,692	   -19,692
       213	     1,704	       914	     0,000	 65535,000	   -35,692	   -35,692
       214	     1,712	       930	     0,000	 65535,000	   -19,692	   -19,692
       215	     1,720	       930	     0,000	 65535,000	   -19,692	   -19,692
       216	     1,728	       946	     0,000	 65535,000	    -3,692	    -3,692
       217	     1,736	       946	     0,000	 65535,000	    -3,692	    -3,692
       218	     1,744	       914	     0,000	 65535,000	   -35,692	   -35,692
       219	     1,752	       962	     0,000	 65535,000	    12,308	    12,308
       220	     1,760	       978	     0,000	 65535,000	    28,308	    28,308
       221	     1,768	       978	     0,000	 65535,000	    28,308	    28,308
       222	     1,776	       946	     0,000	 65535,000	    -3,692	    -3,692
       223	     1,784	       978	     0,000	 65535,000	    28,308	    28,308
       224	     1,792	       994	     0,000	 65535,000	    44,308	    44,308
       225	     1,800	       962	     0,000	 65535,000	    12,308	    12,308
       226	     1,808	       930	     0,000	 65535,000	   -19,692	   -19,692
       227	     1,816	       946	     0,000	 65535,000	    -3,692	    -3,692
       228	     1,824	       962	     0,000	 65535,000	    12,308	    12,308
       229	     1,832	       946	     0,000	 65535,000	    -3,692	    -3,692
       230	     1,840	       978	     0,000	 65535,000	    28,308	    28,308
       231	     1,848	       978	     0,000	 65535,000	    28,308	    28,308
       232	     1,856	       994	     0,000	 65535,000	    44,308	    44,308
       233	     1,864	       946	     0,000	 65535,000	    -3,692	    -3,692
       234	     1,872	       962	     0,000	 65535,000	    12,308	    12,308
       235	     1,880	       962	     0,000	 65535,000	    12,308	    12,308
       236	     1,888	       914	     0,000	 65535,000	   -35,692	   -35,692
       237	     1,896	       946	     0,000	 65535,000	    -3,692	    -3,692
       238	     1,904	       962	     0,000	 65535,000	    12,308	    12,308
       239	     1,912	       946	     0,000	 65535,000	    -3,692	    -3,692
       240	     1,920	       946	     0,000	 65535,000	    -3,692	    -3,692
       241	     1,928	       978	     0,000	 65535,000	    28,308	    28,308
