"pixel no"	"mm" 	"pixel val" 	"dark frame"	"flat field"	"corrected"	"smoothed"
       -13	    -1,000	       946	     0,000	     0,000	    -1,000	    -1,000
       -12	    -1,000	       898	     0,000	     0,000	    -1,000	    -1,000
       -11	    -1,000	       962	     0,000	     0,000	    -1,000	    -1,000
       -10	    -1,000	       978	     0,000	     0,000	    -1,000	    -1,000
        -9	   100,000	       978	     0,000	     0,000	    -1,000	    -1,000
        -8	     4,000	       930	     0,000	     0,000	    -1,000	    -1,000
        -7	     1,000	       946	     0,000	     0,000	    -1,000	    -1,000
        -6	    50,000	       946	     0,000	     0,000	    -1,000	    -1,000
        -5	     0,000	       978	     0,000	     0,000	    -1,000	    -1,000
        -4	   100,000	       930	     0,000	     0,000	    -1,000	    -1,000
        -3	     0,000	       914	     0,000	     0,000	    -1,000	    -1,000
        -2	     0,000	       978	     0,000	     0,000	    -1,000	    -1,000
        -1	     1,000	       994	     0,000	     0,000	    -1,000	    -1,000
         0	     0,000	       962	     0,000	 65535,000	     9,846	     9,846
         1	     0,008	       962	     0,000	 65535,000	     9,846	     9,846
         2	     0,016	       994	     0,000	 65535,000	    41,846	    41,846
         3	     0,024	       978	     0,000	 65535,000	    25,846	    25,846
         4	     0,032	      1010	     0,000	 65535,000	    57,846	    57,846
         5	     0,040	       978	     0,000	 65535,000	    25,846	    25,846
         6	     0,048	       994	     0,000	 65535,000	    41,846	    41,846
         7	     0,056	       946	     0,000	 65535,000	    -6,154	    -6,154
         8	     0,064	       914	     0,000	 65535,000	   -38,154	   -38,154
         9	     0,072	       978	     0,000	 65535,000	    25,846	    25,846
        10	     0,080	       930	     0,000	 65535,000	   -22,154	   -22,154
        11	     0,088	       946	     0,000	 65535,000	    -6,154	    -6,154
        12	     0,096	       978	     0,000	 65535,000	    25,846	    25,846
        13	     0,104	       946	     0,000	 65535,000	    -6,154	    -6,154
        14	     0,112	       930	     0,000	 65535,000	   -22,154	   -22,154
        15	     0,120	       946	     0,000	 65535,000	    -6,154	    -6,154
        16	     0,128	      1010	     0,000	 65535,000	    57,846	    57,846
        17	     0,136	      1010	     0,000	 65535,000	    57,846	    57,846
        18	     0,144	       962	     0,000	 65535,000	     9,846	     9,846
        19	     0,152	       946	     0,000	 65535,000	    -6,154	    -6,154
        20	     0,160	       994	     0,000	 65535,000	    41,846	    41,846
        21	     0,168	       946	     0,000	 65535,000	    -6,154	    -6,154
        22	     0,176	       930	     0,000	 65535,000	   -22,154	   -22,154
        23	     0,184	       962	     0,000	 65535,000	     9,846	     9,846
        24	     0,192	       946	     0,000	 65535,000	    -6,154	    -6,154
        25	     0,200	       978	     0,000	 65535,000	    25,846	    25,846
        26	     0,208	       962	     0,000	 65535,000	     9,846	     9,846
        27	     0,216	       930	     0,000	 65535,000	   -22,154	   -22,154
        28	     0,224	       978	     0,000	 65535,000	    25,846	    25,846
        29	     0,232	       946	     0,000	 65535,000	    -6,154	    -6,154
        30	     0,240	       962	     0,000	 65535,000	     9,846	     9,846
        31	     0,248	       946	     0,000	 65535,000	    -6,154	    -6,154
        32	     0,256	       978	     0,000	 65535,000	    25,846	    25,846
        33	     0,264	       978	     0,000	 65535,000	    25,846	    25,846
        34	     0,272	       978	     0,000	 65535,000	    25,846	    25,846
        35	     0,280	       930	     0,000	 65535,000	   -22,154	   -22,154
        36	     0,288	       962	     0,000	 65535,000	     9,846	     9,846
        37	     0,296	       882	     0,000	 65535,000	   -70,154	   -70,154
        38	     0,304	       962	     0,000	 65535,000	     9,846	     9,846
        39	     0,312	       946	     0,000	 65535,000	    -6,154	    -6,154
        40	     0,320	       994	     0,000	 65535,000	    41,846	    41,846
        41	     0,328	       978	     0,000	 65535,000	    25,846	    25,846
        42	     0,336	       994	     0,000	 65535,000	    41,846	    41,846
        43	     0,344	       962	     0,000	 65535,000	     9,846	     9,846
        44	     0,352	       994	     0,000	 65535,000	    41,846	    41,846
        45	     0,360	       962	     0,000	 65535,000	     9,846	     9,846
        46	     0,368	       914	     0,000	 65535,000	   -38,154	   -38,154
        47	     0,376	       946	     0,000	 65535,000	    -6,154	    -6,154
        48	     0,384	       962	     0,000	 65535,000	     9,846	     9,846
        49	     0,392	       962	     0,000	 65535,000	     9,846	     9,846
        50	     0,400	       914	     0,000	 65535,000	   -38,154	   -38,154
        51	     0,408	       962	     0,000	 65535,000	     9,846	     9,846
        52	     0,416	       962	     0,000	 65535,000	     9,846	     9,846
        53	     0,424	       946	     0,000	 65535,000	    -6,154	    -6,154
        54	     0,432	       962	     0,000	 65535,000	     9,846	     9,846
        55	     0,440	       914	     0,000	 65535,000	   -38,154	   -38,154
        56	     0,448	       994	     0,000	 65535,000	    41,846	    41,846
        57	     0,456	       946	     0,000	 65535,000	    -6,154	    -6,154
        58	     0,464	       962	     0,000	 65535,000	     9,846	     9,846
        59	     0,472	       930	     0,000	 65535,000	   -22,154	   -22,154
        60	     0,480	       946	     0,000	 65535,000	    -6,154	    -6,154
        61	     0,488	       978	     0,000	 65535,000	    25,846	    25,846
        62	     0,496	       978	     0,000	 65535,000	    25,846	    25,846
        63	     0,504	       962	     0,000	 65535,000	     9,846	     9,846
        64	     0,512	       978	     0,000	 65535,000	    25,846	    25,846
        65	     0,520	       994	     0,000	 65535,000	    41,846	    41,846
        66	     0,528	       930	     0,000	 65535,000	   -22,154	   -22,154
        67	     0,536	       962	     0,000	 65535,000	     9,846	     9,846
        68	     0,544	       946	     0,000	 65535,000	    -6,154	    -6,154
        69	     0,552	       978	     0,000	 65535,000	    25,846	    25,846
        70	     0,560	       978	     0,000	 65535,000	    25,846	    25,846
        71	     0,568	       978	     0,000	 65535,000	    25,846	    25,846
        72	     0,576	       994	     0,000	 65535,000	    41,846	    41,846
        73	     0,584	       962	     0,000	 65535,000	     9,846	     9,846
        74	     0,592	       946	     0,000	 65535,000	    -6,154	    -6,154
        75	     0,600	       978	     0,000	 65535,000	    25,846	    25,846
        76	     0,608	       962	     0,000	 65535,000	     9,846	     9,846
        77	     0,616	       930	     0,000	 65535,000	   -22,154	   -22,154
        78	     0,624	       914	     0,000	 65535,000	   -38,154	   -38,154
        79	     0,632	       914	     0,000	 65535,000	   -38,154	   -38,154
        80	     0,640	       946	     0,000	 65535,000	    -6,154	    -6,154
        81	     0,648	       962	     0,000	 65535,000	     9,846	     9,846
        82	     0,656	       946	     0,000	 65535,000	    -6,154	    -6,154
        83	     0,664	       946	     0,000	 65535,000	    -6,154	    -6,154
