"pixel no"	"mm" 	"pixel val" 	"dark frame"	"flat field"	"corrected"	"smoothed"
       -13	    -1,000	       930	     0,000	     0,000	    -1,000	    -1,000
       -12	    -1,000	       914	     0,000	     0,000	    -1,000	    -1,000
       -11	    -1,000	       962	     0,000	     0,000	    -1,000	    -1,000
       -10	    -1,000	       946	     0,000	     0,000	    -1,000	    -1,000
        -9	   100,000	       978	     0,000	     0,000	    -1,000	    -1,000
        -8	     4,000	       962	     0,000	     0,000	    -1,000	    -1,000
        -7	     1,000	       946	     0,000	     0,000	    -1,000	    -1,000
        -6	    50,000	       978	     0,000	     0,000	    -1,000	    -1,000
        -5	     0,000	      1010	     0,000	     0,000	    -1,000	    -1,000
        -4	   100,000	       962	     0,000	     0,000	    -1,000	    -1,000
        -3	     0,000	       962	     0,000	     0,000	    -1,000	    -1,000
        -2	     0,000	       946	     0,000	     0,000	    -1,000	    -1,000
        -1	     1,000	       994	     0,000	     0,000	    -1,000	    -1,000
         0	     0,000	       962	     0,000	 65535,000	     1,231	     1,231
         1	     0,008	       978	     0,000	 65535,000	    17,231	    17,231
         2	     0,016	       962	     0,000	 65535,000	     1,231	     1,231
         3	     0,024	       946	     0,000	 65535,000	   -14,769	   -14,769
         4	     0,032	       946	     0,000	 65535,000	   -14,769	   -14,769
         5	     0,040	       962	     0,000	 65535,000	     1,231	     1,231
         6	     0,048	       946	     0,000	 65535,000	   -14,769	   -14,769
         7	     0,056	       962	     0,000	 65535,000	     1,231	     1,231
         8	     0,064	       962	     0,000	 65535,000	     1,231	     1,231
         9	     0,072	       978	     0,000	 65535,000	    17,231	    17,231
        10	     0,080	       962	     0,000	 65535,000	     1,231	     1,231
        11	     0,088	      1010	     0,000	 65535,000	    49,231	    49,231
        12	     0,096	       946	     0,000	 65535,000	   -14,769	   -14,769
        13	     0,104	       962	     0,000	 65535,000	     1,231	     1,231
        14	     0,112	       882	     0,000	 65535,000	   -78,769	   -78,769
        15	     0,120	       930	     0,000	 65535,000	   -30,769	   -30,769
        16	     0,128	       946	     0,000	 65535,000	   -14,769	   -14,769
        17	     0,136	       994	     0,000	 65535,000	    33,231	    33,231
        18	     0,144	       962	     0,000	 65535,000	     1,231	     1,231
        19	     0,152	       978	     0,000	 65535,000	    17,231	    17,231
        20	     0,160	       994	     0,000	 65535,000	    33,231	    33,231
        21	     0,168	       946	     0,000	 65535,000	   -14,769	   -14,769
        22	     0,176	       962	     0,000	 65535,000	     1,231	     1,231
        23	     0,184	       946	     0,000	 65535,000	   -14,769	   -14,769
        24	     0,192	       978	     0,000	 65535,000	    17,231	    17,231
        25	     0,200	       994	     0,000	 65535,000	    33,231	    33,231
        26	     0,208	       930	     0,000	 65535,000	   -30,769	   -30,769
        27	     0,216	       946	     0,000	 65535,000	   -14,769	   -14,769
        28	     0,224	       978	     0,000	 65535,000	    17,231	    17,231
        29	     0,232	       946	     0,000	 65535,000	   -14,769	   -14,769
        30	     0,240	       946	     0,000	 65535,000	   -14,769	   -14,769
        31	     0,248	       962	     0,000	 65535,000	     1,231	     1,231
        32	     0,256	       962	     0,000	 65535,000	     1,231	     1,231
        33	     0,264	       930	     0,000	 65535,000	   -30,769	   -30,769
        34	     0,272	       962	     0,000	 65535,000	     1,231	     1,231
        35	     0,280	       946	     0,000	 65535,000	   -14,769	   -14,769
        36	     0,288	       994	     0,000	 65535,000	    33,231	    33,231
        37	     0,296	       930	     0,000	 65535,000	   -30,769	   -30,769
        38	     0,304	       930	     0,000	 65535,000	   -30,769	   -30,769
        39	     0,312	       962	     0,000	 65535,000	     1,231	     1,231
        40	     0,320	       962	     0,000	 65535,000	     1,231	     1,231
        41	     0,328	       946	     0,000	 65535,000	   -14,769	   -14,769
        42	     0,336	       962	     0,000	 65535,000	     1,231	     1,231
        43	     0,344	       914	     0,000	 65535,000	   -46,769	   -46,769
        44	     0,352	       994	     0,000	 65535,000	    33,231	    33,231
        45	     0,360	       930	     0,000	 65535,000	   -30,769	   -30,769
        46	     0,368	       914	     0,000	 65535,000	   -46,769	   -46,769
        47	     0,376	       946	     0,000	 65535,000	   -14,769	   -14,769
        48	     0,384	       962	     0,000	 65535,000	     1,231	     1,231
        49	     0,392	       962	     0,000	 65535,000	     1,231	     1,231
        50	     0,400	       914	     0,000	 65535,000	   -46,769	   -46,769
        51	     0,408	       994	     0,000	 65535,000	    33,231	    33,231
        52	     0,416	       962	     0,000	 65535,000	     1,231	     1,231
        53	     0,424	       946	     0,000	 65535,000	   -14,769	   -14,769
        54	     0,432	       978	     0,000	 65535,000	    17,231	    17,231
        55	     0,440	       946	     0,000	 65535,000	   -14,769	   -14,769
        56	     0,448	      1010	     0,000	 65535,000	    49,231	    49,231
        57	     0,456	       962	     0,000	 65535,000	     1,231	     1,231
        58	     0,464	       914	     0,000	 65535,000	   -46,769	   -46,769
        59	     0,472	       946	     0,000	 65535,000	   -14,769	   -14,769
        60	     0,480	       978	     0,000	 65535,000	    17,231	    17,231
        61	     0,488	       930	     0,000	 65535,000	   -30,769	   -30,769
        62	     0,496	       930	     0,000	 65535,000	   -30,769	   -30,769
        63	     0,504	       994	     0,000	 65535,000	    33,231	    33,231
        64	     0,512	       930	     0,000	 65535,000	   -30,769	   -30,769
        65	     0,520	       946	     0,000	 65535,000	   -14,769	   -14,769
        66	     0,528	       994	     0,000	 65535,000	    33,231	    33,231
        67	     0,536	       962	     0,000	 65535,000	     1,231	     1,231
        68	     0,544	       978	     0,000	 65535,000	    17,231	    17,231
        69	     0,552	       978	     0,000	 65535,000	    17,231	    17,231
        70	     0,560	       994	     0,000	 65535,000	    33,231	    33,231
        71	     0,568	       978	     0,000	 65535,000	    17,231	    17,231
        72	     0,576	       978	     0,000	 65535,000	    17,231	    17,231
        73	     0,584	       946	     0,000	 65535,000	   -14,769	   -14,769
        74	     0,592	       946	     0,000	 65535,000	   -14,769	   -14,769
        75	     0,600	       978	     0,000	 65535,000	    17,231	    17,231
        76	     0,608	       962	     0,000	 65535,000	     1,231	     1,231
        77	     0,616	       946	     0,000	 65535,000	   -14,769	   -14,769
        78	     0,624	       978	     0,000	 65535,000	    17,231	    17,231
        79	     0,632	       962	     0,000	 65535,000	     1,231	     1,231
        80	     0,640	       962	     0,000	 65535,000	     1,231	     1,231
        81	     0,648	       914	     0,000	 65535,000	   -46,769	   -46,769
        82	     0,656	       946	     0,000	 65535,000	   -14,769	   -14,769
        83	     0,664	       962	     0,000	 65535,000	     1,231	     1,231
        84	     0,672	       946	     0,000	 65535,000	   -14,769	   -14,769
        85	     0,680	       946	     0,000	 65535,000	   -14,769	   -14,769
        86	     0,688	       946	     0,000	 65535,000	   -14,769	   -14,769
        87	     0,696	       978	     0,000	 65535,000	    17,231	    17,231
        88	     0,704	       978	     0,000	 65535,000	    17,231	    17,231
        89	     0,712	       978	     0,000	 65535,000	    17,231	    17,231
        90	     0,720	       994	     0,000	 65535,000	    33,231	    33,231
        91	     0,728	       962	     0,000	 65535,000	     1,231	     1,231
        92	     0,736	       962	     0,000	 65535,000	     1,231	     1,231
        93	     0,744	       946	     0,000	 65535,000	   -14,769	   -14,769
        94	     0,752	       978	     0,000	 65535,000	    17,231	    17,231
        95	     0,760	       930	     0,000	 65535,000	   -30,769	   -30,769
        96	     0,768	       962	     0,000	 65535,000	     1,231	     1,231
        97	     0,776	       946	     0,000	 65535,000	   -14,769	   -14,769
        98	     0,784	       978	     0,000	 65535,000	    17,231	    17,231
        99	     0,792	       978	     0,000	 65535,000	    17,231	    17,231
       100	     0,800	       994	     0,000	 65535,000	    33,231	    33,231
       101	     0,808	       930	     0,000	 65535,000	   -30,769	   -30,769
       102	     0,816	       930	     0,000	 65535,000	   -30,769	   -30,769
       103	     0,824	       930	     0,000	 65535,000	   -30,769	   -30,769
       104	     0,832	       946	     0,000	 65535,000	   -14,769	   -14,769
       105	     0,840	       946	     0,000	 65535,000	   -14,769	   -14,769
       106	     0,848	       994	     0,000	 65535,000	    33,231	    33,231
       107	     0,856	       930	     0,000	 65535,000	   -30,769	   -30,769
       108	     0,864	       946	     0,000	 65535,000	   -14,769	   -14,769
       109	     0,872	       978	     0,000	 65535,000	    17,231	    17,231
       110	     0,880	       946	     0,000	 65535,000	   -14,769	   -14,769
       111	     0,888	       946	     0,000	 65535,000	   -14,769	   -14,769
       112	     0,896	       978	     0,000	 65535,000	    17,231	    17,231
       113	     0,904	       946	     0,000	 65535,000	   -14,769	   -14,769
       114	     0,912	       930	     0,000	 65535,000	   -30,769	   -30,769
       115	     0,920	       962	     0,000	 65535,000	     1,231	     1,231
       116	     0,928	       914	     0,000	 65535,000	   -46,769	   -46,769
       117	     0,936	       962	     0,000	 65535,000	     1,231	     1,231
       118	     0,944	       930	     0,000	 65535,000	   -30,769	   -30,769
       119	     0,952	       962	     0,000	 65535,000	     1,231	     1,231
       120	     0,960	       962	     0,000	 65535,000	     1,231	     1,231
       121	     0,968	       962	     0,000	 65535,000	     1,231	     1,231
       122	     0,976	       978	     0,000	 65535,000	    17,231	    17,231
       123	     0,984	       962	     0,000	 65535,000	     1,231	     1,231
       124	     0,992	       962	     0,000	 65535,000	     1,231	     1,231
       125	     1,000	       930	     0,000	 65535,000	   -30,769	   -30,769
       126	     1,008	       994	     0,000	 65535,000	    33,231	    33,231
       127	     1,016	       978	     0,000	 65535,000	    17,231	    17,231
       128	     1,024	      1026	     0,000	 65535,000	    65,231	    65,231
       129	     1,032	       962	     0,000	 65535,000	     1,231	     1,231
       130	     1,040	       962	     0,000	 65535,000	     1,231	     1,231
       131	     1,048	       930	     0,000	 65535,000	   -30,769	   -30,769
       132	     1,056	       930	     0,000	 65535,000	   -30,769	   -30,769
       133	     1,064	       914	     0,000	 65535,000	   -46,769	   -46,769
       134	     1,072	       930	     0,000	 65535,000	   -30,769	   -30,769
       135	     1,080	       930	     0,000	 65535,000	   -30,769	   -30,769
       136	     1,088	       898	     0,000	 65535,000	   -62,769	   -62,769
       137	     1,096	       930	     0,000	 65535,000	   -30,769	   -30,769
       138	     1,104	       882	     0,000	 65535,000	   -78,769	   -78,769
       139	     1,112	       946	     0,000	 65535,000	   -14,769	   -14,769
       140	     1,120	       946	     0,000	 65535,000	   -14,769	   -14,769
       141	     1,128	       994	     0,000	 65535,000	    33,231	    33,231
       142	     1,136	       962	     0,000	 65535,000	     1,231	     1,231
       143	     1,144	       994	     0,000	 65535,000	    33,231	    33,231
       144	     1,152	      1010	     0,000	 65535,000	    49,231	    49,231
       145	     1,160	      1026	     0,000	 65535,000	    65,231	    65,231
       146	     1,168	       962	     0,000	 65535,000	     1,231	     1,231
       147	     1,176	       962	     0,000	 65535,000	     1,231	     1,231
       148	     1,184	       930	     0,000	 65535,000	   -30,769	   -30,769
       149	     1,192	       930	     0,000	 65535,000	   -30,769	   -30,769
       150	     1,200	       946	     0,000	 65535,000	   -14,769	   -14,769
       151	     1,208	       946	     0,000	 65535,000	   -14,769	   -14,769
